TotalIGS,Dribbling,WeakFoot,BeastRating,Nation,AttackerRating,StrongFoot,CreatorRating,SkillMoves,League,Name,TotalStats,Age,Pace,Workrates,Position,Passing,Rating,HeadingRating,Height,DefenderRating,Club,Defending,Shooting,Physical
2166,91,4,87,Portugal,92,Right,79,5,LaLiga Santander,RONALDO,469,31,92,High / Low,LW,81,94,89,"185cm | 6'0""",38,Real Madrid CF,33,92,80
2099,96,4,79,Argentina,91,Left,86,4,LaLiga Santander,MESSI,448,29,89,Medium / Medium,RW,86,93,69,"170cm | 5'6""",33,FC Barcelona,26,90,61
2010,89,4,85,Argentina,88,Right,72,4,Premier League,AGÜERO,434,28,89,High / Medium,ST,75,89,73,"172cm | 5'7""",29,Manchester City,23,88,70
2134,87,4,83,Uruguay,89,Right,75,4,LaLiga Santander,SUÁREZ,459,29,82,High / Medium,ST,79,92,76,"182cm | 5'11""",47,FC Barcelona,42,90,79
2018,95,5,77,Brazil,85,Right,77,5,LaLiga Santander,NEYMAR,434,24,91,High / Medium,LW,78,92,65,"174cm | 5'8""",36,FC Barcelona,30,84,56
2055,85,4,86,Sweden,88,Right,79,4,Premier League,IBRAHIMOVIĆ,445,34,72,Medium / Low,ST,81,90,81,"195cm | 6'4""",38,Manchester United,31,90,86
1970,68,4,87,Germany,57,Right,75,2,Bundesliga,BOATENG,444,28,79,Medium / Medium,CB,72,90,85,"192cm | 6'3""",89,FC Bayern München,90,50,85
2204,86,3,89,Wales,88,Left,83,4,LaLiga Santander,BALE,484,27,94,High / Medium,RW,84,90,81,"183cm | 6'0""",60,Real Madrid CF,57,87,76
2060,85,4,86,Poland,86,Right,72,3,Bundesliga,LEWANDOWSKI,447,28,81,Medium / Medium,ST,74,90,84,"185cm | 6'0""",42,FC Bayern München,38,87,82
2066,84,4,81,Belgium,83,Right,86,4,Premier League,DE BRUYNE,445,25,77,High / Medium,"CAM,CM",86,"88,89",66,"181cm | 5'11""",48,Manchester City,40,83,75
2054,79,5,72,Germany,81,Right,89,3,LaLiga Santander,KROOS,431,26,45,Medium / Medium,CM,88,88,56,"182cm | 5'11""",71,Real Madrid CF,69,80,70
2179,89,4,74,Croatia,78,Right,86,4,LaLiga Santander,MODRIĆ,462,31,74,High / Medium,CM,86,89,65,"174cm | 5'8""",73,Real Madrid CF,72,75,66
1885,86,2,73,Germany,78,Left,86,4,Premier League,ÖZIL,400,27,72,Medium / Low,CAM,86,89,63,"183cm | 6'0""",30,Arsenal,24,74,58
2251,87,4,88,France,84,Right,83,5,Premier League,POGBA,486,23,77,High / Medium,"CM,CM,CDM",83,"88,89,89",82,"191cm | 6'3""",75,Manchester United,72,80,87
2095,70,3,83,Spain,63,Right,70,3,LaLiga Santander,RAMOS,451,30,78,High / Medium,CB,70,89,87,"183cm | 6'0""",86,Real Madrid CF,87,63,83
2099,73,3,82,Brazil,63,Right,75,3,Ligue 1,SILVA,446,32,74,High / High,CB,73,89,86,"183cm | 6'0""",88,Paris Saint-Germain,90,57,79
2098,86,5,76,Spain,81,Right,85,4,Premier League,CAZORLA,441,31,71,Medium / Medium,CAM,85,86,65,"168cm | 5'6""",58,Arsenal,57,78,64
1904,64,3,78,Spain,59,Right,74,2,LaLiga Santander,PIQUÉ,418,29,61,High / Medium,CB,70,86,83,"193cm | 6'3""",85,FC Barcelona,86,61,76
2154,83,3,83,Spain,72,Left,74,3,LaLiga Santander,ALBA,476,27,93,High / Medium,LB,75,86,71,"170cm | 5'6""",81,FC Barcelona,81,69,75
2024,80,4,89,Gabon,82,Right,72,3,Bundesliga,AUBAMEYANG,443,27,96,High / Low,ST,75,86,80,"187cm | 6'1""",43,Borussia Dortmund,37,84,71
1831,64,3,82,Brazil,52,Right,60,2,Calcio A,MIRANDA,410,32,75,Medium / Medium,CB,56,86,84,"186cm | 6'1""",87,Inter,89,49,77
2159,84,4,84,Brazil,73,Left,79,4,LaLiga Santander,MARCELO,474,28,79,High / Medium,LB,80,86,73,"174cm | 5'8""",83,Real Madrid CF,82,69,80
2044,87,4,82,France,80,Right,86,4,Premier League,PAYET,441,29,77,High / Medium,LM,87,86,60,"175cm | 5'8""",48,West Ham United,42,78,70
1781,63,3,82,Italy,42,Right,59,2,Calcio A,BARZAGLI,398,35,74,Low / High,CB,56,86,82,"187cm | 6'1""",89,Juventus,89,37,79
2271,79,4,83,Chile,81,Right,81,3,Bundesliga,VIDAL,485,29,77,High / High,CM,80,87,81,"180cm | 5'10""",84,FC Bayern München,84,81,84
1964,74,3,70,Spain,65,Right,80,3,LaLiga Santander,BUSQUETS,418,28,42,Medium / Medium,CDM,79,87,74,"189cm | 6'2""",83,FC Barcelona,83,59,81
2194,83,4,82,Italy,78,Right,84,4,Calcio A,MARCHISIO,468,30,77,High / High,CM,83,86,71,"180cm | 5'10""",77,Juventus,76,74,75
2091,88,3,82,Chile,83,Right,78,4,Premier League,SÁNCHEZ,448,27,86,High / High,"LW,ST",79,"87,88",73,"169cm | 5'6""",44,Arsenal,39,82,74
2034,78,4,80,Germany,84,Right,75,3,Bundesliga,MÜLLER,434,27,78,High / High,CF,77,87,83,"186cm | 6'1""",50,FC Bayern München,46,83,72
2074,81,3,74,Spain,77,Right,90,3,Premier League,FÀBREGAS,435,29,63,High / Medium,CM,89,86,72,"175cm | 5'8""",62,Chelsea,61,77,64
1970,69,3,82,Italy,56,Right,72,2,Calcio A,BONUCCI,428,29,70,Medium / High,CB,68,87,86,"190cm | 6'2""",86,Juventus,87,53,81
